split,model,n_train,n_test,pos_rate_train,pos_rate_test,roc_auc,pr_auc,features
curnow_to_daley,logreg,2176,428,0.515625,0.5046728971962616,0.45687019566736553,0.4884105447229963,compose
curnow_to_daley,rf,2176,428,0.515625,0.5046728971962616,0.533641247379455,0.5195974721373657,compose
curnow_to_daley,logreg,2176,428,0.515625,0.5046728971962616,0.5624017295597485,0.5381999341214296,esm
curnow_to_daley,rf,2176,428,0.515625,0.5046728971962616,0.5016487596086653,0.4972703480108134,esm
curnow_to_daley,logreg,2176,428,0.515625,0.5046728971962616,0.5697720125786163,0.5678983890668435,both
curnow_to_daley,rf,2176,428,0.515625,0.5046728971962616,0.4565863032844165,0.45488736775938143,both
curnow_to_hammon,logreg,2176,313,0.515625,0.20447284345047922,0.38962098393574296,0.16526831302036776,compose
curnow_to_hammon,rf,2176,313,0.515625,0.20447284345047922,0.4411709337349398,0.17971646263959967,compose
curnow_to_hammon,logreg,2176,300,0.515625,0.21,0.5491929542562455,0.24716693437010476,esm
curnow_to_hammon,rf,2176,300,0.515625,0.21,0.4203335342575849,0.17924810664998309,esm
curnow_to_hammon,logreg,2176,300,0.515625,0.21,0.5475520728685285,0.2519008686981017,both
curnow_to_hammon,rf,2176,300,0.515625,0.21,0.5356975420266559,0.22549524238347707,both
